Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,MCC,PR-AUC_0,PR-AUC_1,ROC-AUC_0,ROC-AUC_1
LR_RFECV_FSS,0.5556,0.2186,0.9171,0.353,0.7088,0.2846,0.0814,0.2869,0.2352,0.7648
NN_RFECV_FSS,0.6722,0.2507,0.7469,0.3726,0.7038,0.284,0.0813,0.2792,0.2307,0.7693
KNN_RFECV_FSS,0.7054,0.2408,0.5705,0.3387,0.6482,0.2165,0.1834,0.3152,0.2982,0.7018
DT_RFECV_FSS,0.7795,0.2829,0.4356,0.343,0.6338,0.225,0.3568,0.3958,0.366,0.634
RF_RFECV_FSS,0.8047,0.3247,0.4422,0.3745,0.6511,0.2663,0.0807,0.3224,0.2115,0.7885
AB_RFECV_FSS,0.5526,0.2179,0.9207,0.3524,0.7086,0.2846,0.0817,0.2776,0.2375,0.7625
XGB_RFECV_FSS,0.6134,0.2408,0.8938,0.3794,0.7322,0.3147,0.0779,0.3614,0.1894,0.8106
NB_RFECV_FSS,0.5136,0.2067,0.9443,0.3392,0.6962,0.2717,0.0876,0.2654,0.2506,0.7498
LR_RFECV_FMS,0.5563,0.2188,0.9164,0.3532,0.709,0.2847,0.0809,0.2955,0.2299,0.7701
NN_RFECV_FMS,0.6019,0.2321,0.8709,0.3664,0.7159,0.2926,0.0805,0.2947,0.2231,0.7769
KNN_RFECV_FMS,0.7068,0.2439,0.5798,0.3434,0.653,0.2233,0.1779,0.3229,0.2908,0.7092
DT_RFECV_FMS,0.7837,0.2758,0.3913,0.3235,0.6174,0.2037,0.3775,0.3741,0.3813,0.6187
RF_RFECV_FMS,0.8117,0.3296,0.4099,0.3654,0.6414,0.2585,0.0818,0.3206,0.2165,0.7835
AB_RFECV_FMS,0.5531,0.2182,0.9219,0.3529,0.7094,0.2857,0.0818,0.2725,0.2386,0.7614
XGB_RFECV_FMS,0.6493,0.2519,0.8381,0.3873,0.7293,0.3131,0.0787,0.3355,0.1986,0.8014
NB_RFECV_FMS,0.5115,0.2061,0.9452,0.3385,0.6953,0.2708,0.0873,0.2652,0.2503,0.75
LR_Lasso_RFECV_FSS,0.556,0.2187,0.9169,0.3532,0.7089,0.2848,0.081,0.2937,0.231,0.769
NN_Lasso_RFECV_FSS,0.6358,0.2458,0.8415,0.3798,0.7229,0.3045,0.0806,0.2919,0.2213,0.7787
KNN_Lasso_RFECV_FSS,0.705,0.2402,0.5693,0.3378,0.6474,0.2153,0.1849,0.3125,0.3004,0.6996
DT_Lasso_RFECV_FSS,0.7758,0.2724,0.4169,0.3295,0.6237,0.2085,0.3657,0.3838,0.3749,0.6251
RF_Lasso_RFECV_FSS,0.8032,0.3181,0.4274,0.3648,0.6439,0.2551,0.0812,0.3068,0.2209,0.7791
AB_Lasso_RFECV_FSS,0.5523,0.2179,0.9215,0.3524,0.7088,0.2849,0.0817,0.276,0.2384,0.7616
XGB_Lasso_RFECV_FSS,0.6128,0.2404,0.8926,0.3788,0.7314,0.3137,0.0782,0.3534,0.1939,0.8061
NB_Lasso_RFECV_FSS,0.5413,0.2147,0.9293,0.3488,0.7057,0.2817,0.0846,0.2717,0.2414,0.7588
LR_Lasso_RFECV_FMS,0.5563,0.2187,0.9162,0.3531,0.7088,0.2846,0.081,0.2928,0.2314,0.7686
NN_Lasso_RFECV_FMS,0.5958,0.2302,0.8774,0.3647,0.7151,0.2917,0.0803,0.295,0.2207,0.7793
KNN_Lasso_RFECV_FMS,0.7061,0.243,0.5783,0.3422,0.652,0.2217,0.179,0.3207,0.2925,0.7075
DT_Lasso_RFECV_FMS,0.7814,0.2735,0.3946,0.3231,0.6175,0.2026,0.3761,0.3743,0.3813,0.6187
RF_Lasso_RFECV_FMS,0.8109,0.3236,0.3949,0.3557,0.6346,0.2479,0.0841,0.3026,0.2305,0.7695
AB_Lasso_RFECV_FMS,0.5531,0.2181,0.921,0.3527,0.7091,0.2852,0.0817,0.2746,0.2378,0.7622
XGB_Lasso_RFECV_FMS,0.657,0.2537,0.8194,0.3872,0.7258,0.3096,0.0788,0.3316,0.2005,0.7995
NB_Lasso_RFECV_FMS,0.5403,0.2145,0.9303,0.3486,0.7056,0.2817,0.0845,0.2717,0.2412,0.7589
